"indicator","series","seriesDescription","seriesCount","timePeriodStart"
"1",1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2053,2011
"4",1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2053,2004
"5",1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),2053,2007
"263",1.1.1,SI_POV_EMP1,Employed population below international poverty line; by sex and age (%),9531,2011
"272",1.1.1,SI_POV_EMP1,Employed population below international poverty line; by sex and age (%),9531,2004
"281",1.1.1,SI_POV_EMP1,Employed population below international poverty line; by sex and age (%),9531,2007
"1892",1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),1372,2007
"1893",1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),1372,2011
"1897",1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),1372,2004
"2144",1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),1190,2011
"2272",1.2.2,SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor (%),79,2011
"2280",1.2.2,SD_MDP_MUHHC,Proportion of households living in multidimensional poverty (%),49,2011
"2285",1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),678,2007
"2287",1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),678,2011
"2327",1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),678,2004
"2411",1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),644,2007
"2413",1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),644,2011
"2439",1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),644,2004
"2529",1.3.1,SI_COV_UEMP,[ILO] Proportion of unemployed persons receiving unemployment cash benefit; by sex (%),691,2007
"2530",1.3.1,SI_COV_UEMP,[ILO] Proportion of unemployed persons receiving unemployment cash benefit; by sex (%),691,2011
"2554",1.3.1,SI_COV_UEMP,[ILO] Proportion of unemployed persons receiving unemployment cash benefit; by sex (%),691,2004
"2670",1.3.1,SI_COV_WKINJRY,[ILO] Proportion of employed population covered in the event of work injury; by sex (%),178,2011
"2671",1.3.1,SI_COV_WKINJRY,[ILO] Proportion of employed population covered in the event of work injury; by sex (%),178,2007
"2674",1.3.1,SI_COV_WKINJRY,[ILO] Proportion of employed population covered in the event of work injury; by sex (%),178,2004
"2675",1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),350,2011
"2679",1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),350,2007
"2689",1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),350,2004
"2735",1.3.1,SI_COV_PENSN,[ILO] Proportion of population above statutory pensionable age receiving a pension; by sex (%),669,2011
"2743",1.3.1,SI_COV_PENSN,[ILO] Proportion of population above statutory pensionable age receiving a pension; by sex (%),669,2004
"2745",1.3.1,SI_COV_PENSN,[ILO] Proportion of population above statutory pensionable age receiving a pension; by sex (%),669,2007
"2756",1.4.1,SP_ACS_BSRVH2O,Proportion of population using basic drinking water services; by location (%),12226,2004
"2759",1.4.1,SP_ACS_BSRVH2O,Proportion of population using basic drinking water services; by location (%),12226,2007
"2762",1.4.1,SP_ACS_BSRVH2O,Proportion of population using basic drinking water services; by location (%),12226,2011
"4796",1.4.1,SP_ACS_BSRVSAN,Proportion of population using basic sanitation services; by location (%),12068,2004
"4799",1.4.1,SP_ACS_BSRVSAN,Proportion of population using basic sanitation services; by location (%),12068,2007
"4802",1.4.1,SP_ACS_BSRVSAN,Proportion of population using basic sanitation services; by location (%),12068,2011
"6818",1.4.2,SP_LGL_LNDDOC,Proportion of people with legally recognized documentation of their rights to land out of total adult population; by sex (%),64,2011
"6827",1.4.2,SP_LGL_LNDSEC,Proportion of people who perceive their rights to land as secure out of total adult population; by sex (%),22,2011
"6832",1.4.2,SP_LGL_LNDSTR,Proportion of people with secure tenure rights to land out of total adult population; by sex (%),44,2011
"6836",1.5.1 11.5.1 13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),394,2011
"6837",1.5.1 11.5.1 13.1.1,VC_DSR_MISS,Number of missing persons due to disaster (number),394,2007
"6894",1.5.1 11.5.1 13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),1218,2007
"6895",1.5.1 11.5.1 13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),1218,2011
"7067",1.5.1 11.5.1 13.1.1,VC_DSR_MORT,Number of deaths due to disaster (number),1191,2007
"7068",1.5.1 11.5.1 13.1.1,VC_DSR_MORT,Number of deaths due to disaster (number),1191,2011
"7240",1.5.1 11.5.1 13.1.1,VC_DSR_MTMP,Number of deaths and missing persons attributed to disasters per 100;000 population (number),1196,2007
"7241",1.5.1 11.5.1 13.1.1,VC_DSR_MTMP,Number of deaths and missing persons attributed to disasters per 100;000 population (number),1196,2011
"7414",1.5.1 11.5.1 13.1.1,VC_DSR_MMHN,Number of deaths and missing persons attributed to disasters (number),1196,2007
"7415",1.5.1 11.5.1 13.1.1,VC_DSR_MMHN,Number of deaths and missing persons attributed to disasters (number),1196,2011
"7588",1.5.1 11.5.1 13.1.1,VC_DSR_DAFF,Number of directly affected persons attributed to disasters per 100;000 population (number),1218,2007
"7589",1.5.1 11.5.1 13.1.1,VC_DSR_DAFF,Number of directly affected persons attributed to disasters per 100;000 population (number),1218,2011
"7761",1.5.1 11.5.1 13.1.1,VC_DSR_IJILN,Number of injured or ill people attributed to disasters (number),970,2007
"7762",1.5.1 11.5.1 13.1.1,VC_DSR_IJILN,Number of injured or ill people attributed to disasters (number),970,2011
"7897",1.5.1 11.5.1 13.1.1,VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),999,2007
"7898",1.5.1 11.5.1 13.1.1,VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),999,2011
"8038",1.5.1 11.5.1 13.1.1,VC_DSR_PDYN,Number of people whose destroyed dwellings were attributed to disasters (number),851,2007
"8039",1.5.1 11.5.1 13.1.1,VC_DSR_PDYN,Number of people whose destroyed dwellings were attributed to disasters (number),851,2011
"8157",1.5.1 11.5.1 13.1.1,VC_DSR_PDLN,Number of people whose livelihoods were disrupted or destroyed; attributed to disasters (number),656,2007
"8158",1.5.1 11.5.1 13.1.1,VC_DSR_PDLN,Number of people whose livelihoods were disrupted or destroyed; attributed to disasters (number),656,2011
