GTAP Only,NFA_GTAP_Qscore,Continents
Australia,5,Asia-Pacific
New Zealand,5,Asia-Pacific
Rest of Oceania,3,Asia-Pacific
China,6,Asia-Pacific
"Hong Kong, Special Administrative Region of China",0,Asia-Pacific
Japan,6,Asia-Pacific
South Korea,6,Asia-Pacific
Mongolia,3,Asia-Pacific
"Taiwan, Republic of China",0,Asia-Pacific
Rest of East Asia,6,Asia-Pacific
Brunei Darussalam,3,Asia-Pacific
Cambodia,3,Asia-Pacific
Indonesia,6,Asia-Pacific
Laos,6,Asia-Pacific
Malaysia,6,Asia-Pacific
Philippines,5,Asia-Pacific
Singapore,5,Asia-Pacific
Thailand,6,Asia-Pacific
Vietnam,6,Asia-Pacific
Rest of Southeast Asia,6,Asia-Pacific
Bangladesh,6,Asia-Pacific
India,6,Asia-Pacific
Nepal,6,Asia-Pacific
Pakistan,6,Asia-Pacific
Sri Lanka,6,Asia-Pacific
Rest of South Asia,5,Asia-Pacific
Canada,5,North America
United States of America,6,North America
Mexico,5,North America
Rest of North America,3,North America
Argentina,6,South America
Bolivia,5,South America
Brazil,6,South America
Chile,6,South America
Colombia,6,South America
Ecuador,4,South America
Paraguay,5,South America
Peru,6,South America
Uruguay,3,South America
Venezuela (Bolivarian Republic of),5,South America
Rest of South America,4,South America
Costa Rica,5,Central America/Caribbean
Guatemala,5,Central America/Caribbean
Honduras,3,Central America/Caribbean
Nicaragua,5,Central America/Caribbean
Panama,5,Central America/Caribbean
El Salvador,5,Central America/Caribbean
Rest of Central America,0,Central America/Caribbean
Dominican Republic,6,Central America/Caribbean
Jamaica,3,Central America/Caribbean
Puerto Rico,0,Central America/Caribbean
Trinidad and Tobago,3,Central America/Caribbean
Caribbean,6,Central America/Caribbean
Austria,6,EU
Belgium,6,EU
Cyprus,5,EU
Czech Republic,6,EU
Denmark,5,EU
Estonia,5,EU
Finland,3,EU
France,6,EU
Germany,5,EU
Greece,5,EU
Hungary,5,EU
Ireland,6,EU
Italy,6,EU
Latvia,5,EU
Lithuania,5,EU
Luxembourg,5,EU
Malta,2,EU
Netherlands,6,EU
Poland,6,EU
Portugal,6,EU
Slovakia,5,EU
Slovenia,6,EU
Spain,6,EU
Sweden,5,EU
United Kingdom,6,EU
Switzerland,6,EU
Norway,5,EU
Rest of EFTA,0,EU
Albania,6,Other Europe
Bulgaria,5,Other Europe
Belarus,6,Other Europe
Croatia,6,Other Europe
Romania,5,Other Europe
Russian Federation,6,Other Europe
Ukraine,5,Other Europe
Rest of Eastern Europe,5,Other Europe
Rest of Europe,6,Other Europe
Kazakhstan,3,Other Europe
Kyrgyzstan,3,Other Europe
Rest of Former Soviet Union,5,Other Europe
Armenia,5,Other Europe
Azerbaijan,5,Other Europe
Georgia,3,Other Europe
Bahrain,3,Middle East/Central Asia
Iran,3,Middle East/Central Asia
Israel,6,Middle East/Central Asia
Jordan,6,Middle East/Central Asia
Kuwait,3,Middle East/Central Asia
Oman,3,Middle East/Central Asia
Qatar,3,Middle East/Central Asia
Saudi Arabia,3,Middle East/Central Asia
Turkey,6,Middle East/Central Asia
United Arab Emirates,1,Middle East/Central Asia
Rest of Western Asia,4,Middle East/Central Asia
Egypt,5,Middle East/Central Asia
Morocco,5,Africa
Tunisia,5,Africa
Rest of North Africa,5,Africa
Benin,6,Africa
Burkina Faso,6,Africa
Cameroon,6,Africa
Cote dIvoire,6,Africa
Ghana,6,Africa
Guinea,5,Africa
Nigeria,6,Africa
Senegal,5,Africa
Togo,6,Africa
Rest of Western Africa,5,Africa
Central Africa,6,Africa
South Central Africa,6,Africa
Ethiopia,6,Africa
Kenya,5,Africa
Madagascar,6,Africa
Malawi,6,Africa
Mauritius,5,Africa
Mozambique,5,Africa
Rwanda,5,Africa
Tanzania,6,Africa
Uganda,6,Africa
Zambia,6,Africa
Zimbabwe,6,Africa
Rest of Eastern Africa,5,Africa
Botswana,3,Africa
Namibia,2,Africa
South Africa,5,Africa
Rest of South African Customs Union,3,Africa
Rest of the World,5,Asia-Pacific
