,indicator,name,description,sourceDatabase,sourceOrganization,CLUM
2606,SG.H2O.PRMS.HH.ZS,Households with water on the premises (%),Percentage of households who have a water source on their premises,Gender Statistics,Demographic and Health Surveys (DHS),Housing
4004,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),"The percentage of people using improved sanitation facilities that are not shared with other households and where excreta are safely disposed of in situ or transported and treated offsite. Improved sanitation facilities include flush/pour flush to piped sewer systems, septic tanks or pit latrines: ventilated improved pit latrines, compositing toilets or pit latrines with slabs.",World Development Indicators,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).",Housing
6404,IN.POV.HH.DRKNGWATER.WITHIN,Availability of drinking water source within the premises,Distribution of households by availability of drinking water sources - within the premises,Country Partnership Strategy for India (FY2013 - 17),"Source: Databook for DCH December 2013 (Page 330 of 333) - Planning Commission, Government of India",Housing
13116,IC.ELC.OUTG.HR,Average duration of power outages (hours),Average number of hours of power outages.  ,Africa Development Indicators,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Housing
13127,IC.DCP.BQCI,Building quality control index (0-15),Building quality control index ,Doing Business,"World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/DealingLicenses/).",Housing
13976,IC.FRM.INFRA.IN6,Number of water insufficiencies in a typical month,"Number of water shortages in a typical month.   Source:World Bank, Enterprise Surveys Project(http://www.enterprisesurveys.org/Data/ExploreTopics/infrastructure).",Enterprise Surveys,"World Bank, Enterprise Surveys Project(http://www.enterprisesurveys.org/Data/ExploreTopics/infrastructure).",Housing
15340,SG.COK.LPGN.ZS,Main cooking fuel: LPG/natural gas/biogas (% of households),Percentage of households who use Liquified Petroleum Gas (LPG) or natural gas or biogas as thier main cooking fuel,Gender Statistics,Demographic and Health Surveys (DHS),Housing
15342,SG.COK.ELEC.ZS,Main cooking fuel: electricity  (% of households),Percentage of households who use electricity as thier main cooking fuel,Gender Statistics,Demographic and Health Surveys (DHS),Housing
3989,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 people)","Mortality caused by road traffic injury is estimated road traffic fatal injury deaths per 100,000 population.",World Development Indicators,"World Health Organization, Global Status Report on Road Safety.",Personal Transportation
12142,IN.TRANSPORT.URBNRD.DENSIT,Urban Road Density (KMs Per 1000 Population),"Urban roads density is measured in KMs of Urban roads in the area (State, District) divided by population in thousands in that area (State, District)
Urban roads are roads within a limits of a Municipality, Military Cantonment, Port o a Railway Authority.",Country Partnership Strategy for India (FY2013 - 17),"Source: Transport and Research Wing, Ministry of Road Transport and Highways, India
Road Transport : Table 1A.8 : Statewise Rural Road Density Per 1000 Population
http://mospi.nic.in/Mospi_New/upload/Infra_stat_2010/1.ch_road.pdf",Personal Transportation
12144,IN.TRANSPORT.RURLRD.DENSIT,Rural Road Density (KMs/1000 Population),"Rural roads density is measured in KMs of rural roads in the area (State, District) divided by population in thousands in that area (State, District)
Rural roads are roads within a district for which the specifications are lower than for district roads. ",Country Partnership Strategy for India (FY2013 - 17),"Source: Transport and Research Wing, Ministry of Road Transport and Highways, India
Road Transport : Table 1A.10 : Statewise Rural Road Density Per 1000 Population
http://mospi.nic.in/Mospi_New/upload/Infra_stat_2010/1.ch_road.pdf",Personal Transportation
13079,IS.RRS.PASG.KM,"Railways, passengers carried (million passenger-km)",Passengers carried by railway are the number of passengers transported by rail times kilometers traveled.,World Development Indicators,Internation Union of Railways (UIC),Personal Transportation
