"","country","year","ZScore_Index","CLUM_category","MaxMin_Index","NAPercent"
"1","Andorra",2004,NA,"Food",NA,100
"2","Andorra",2007,NA,"Food",NA,100
"3","Andorra",2011,NA,"Food",NA,100
"4","United Arab Emirates",2004,2.03384567700295,"Food",0.373157732918486,0
"5","United Arab Emirates",2007,1.81205425526324,"Food",0.356665269738441,0
"6","United Arab Emirates",2011,1.19405808919858,"Food",0.30541707683562,0
"7","Afghanistan",2004,-0.497134143612761,"Food",0.143401288541731,0
"8","Afghanistan",2007,-0.219901845371786,"Food",0.167583719130952,0
"9","Afghanistan",2011,-0.19778571331275,"Food",0.16907503695277,0
"10","Antigua and Barbuda",2004,-0.227980652806385,"Food",0.212296122084853,20
"11","Antigua and Barbuda",2007,-0.3419655640164,"Food",0.202621120321141,20
"12","Antigua and Barbuda",2011,-0.627200654174102,"Food",0.178258883842224,20
"13","Albania",2004,-0.122065240464126,"Food",0.223728710154319,20
"14","Albania",2007,-0.0110845754871036,"Food",0.233621078644801,20
"15","Albania",2011,0.55913931063831,"Food",0.283729838177629,20
"16","Armenia",2004,-0.522224332201828,"Food",0.141938864697628,0
"17","Armenia",2007,0.139526357436959,"Food",0.198099423494514,0
"18","Armenia",2011,0.209278964904157,"Food",0.20391763069096,0
"19","Angola",2004,-0.616644035320078,"Food",0.13229716212063,0
"20","Angola",2007,-0.221487025073025,"Food",0.165910508147181,0
"21","Angola",2011,0.880230931000496,"Food",0.25996364340788,0
"22","Argentina",2004,0.203655702937592,"Food",0.19996302043868,0
"23","Argentina",2007,0.600232593332635,"Food",0.234479844786896,0
"24","Argentina",2011,0.796169483948137,"Food",0.250409776883675,0
"25","American Samoa",2004,-0.513067878277629,"Food",0.526398270737638,60
"26","American Samoa",2007,0.21294108940448,"Food",0.588381518508511,60
"27","American Samoa",2011,0.562336861122461,"Food",0.618211294244799,60
"28","Austria",2004,0.293109726304147,"Food",0.263395060083389,20
"29","Austria",2007,0.239235793365677,"Food",0.257934841758566,20
"30","Austria",2011,0.567691725747908,"Food",0.287728614024052,20
"31","Australia",2004,-0.284409830506826,"Food",0.208104082093229,20
"32","Australia",2007,-0.508364698276047,"Food",0.187378467469933,20
"33","Australia",2011,-0.108615246353657,"Food",0.223103569910018,20
"34","Aruba",2004,NA,"Food",NA,100
"35","Aruba",2007,NA,"Food",NA,100
"36","Aruba",2011,NA,"Food",NA,100
"37","Azerbaijan",2004,-0.388673392061139,"Food",0.153122497228325,0
"38","Azerbaijan",2007,0.025638739995515,"Food",0.186968478780983,0
"39","Azerbaijan",2011,0.506737096332752,"Food",0.227187681852415,0
"40","Bosnia and Herzegovina",2004,-0.0378080162001722,"Food",0.232438320587718,20
"41","Bosnia and Herzegovina",2007,-0.0887549920118513,"Food",0.226482961890618,20
"42","Bosnia and Herzegovina",2011,0.162836748206299,"Food",0.248412119696697,20
"43","Barbados",2004,-0.187083473005108,"Food",0.169378120632554,0
"44","Barbados",2007,-0.147277076741082,"Food",0.17318140640975,0
"45","Barbados",2011,-0.131402149825082,"Food",0.173791916112298,0
"46","Bangladesh",2004,-0.312379113908795,"Food",0.160694262477951,0
"47","Bangladesh",2007,0.0831090747301129,"Food",0.194997819438435,0
"48","Bangladesh",2011,0.444606040710264,"Food",0.226071320781455,0
"49","Belgium",2004,0.748779817261411,"Food",0.305457712148982,20
"50","Belgium",2007,0.531255982601106,"Food",0.286182181874115,20
"51","Belgium",2011,0.721007770283483,"Food",0.303009762272006,20
"52","Burkina Faso",2004,-0.584620323184791,"Food",0.135410456003548,0
"53","Burkina Faso",2007,-0.586165121017109,"Food",0.135259221982379,0
"54","Burkina Faso",2011,-0.212725637082109,"Food",0.167156015880385,0
"55","Bulgaria",2004,0.168239561850878,"Food",0.249449735691982,20
"56","Bulgaria",2007,-0.671789201183444,"Food",0.175756406080246,20
"57","Bulgaria",2011,0.28307341312519,"Food",0.259331682126434,20
"58","Bahrain",2004,-0.618004610345898,"Food",0.242069710888949,40
"59","Bahrain",2007,0.528456779520398,"Food",0.336065616818483,40
"60","Bahrain",2011,2.03830494735926,"Food",0.463123547125417,40
"61","Burundi",2004,-0.447298449379944,"Food",0.193234808774748,20
"62","Burundi",2007,-0.321556067431289,"Food",0.20393279165379,20
"63","Burundi",2011,-0.186518132177268,"Food",0.215223489420043,20
"64","Benin",2004,-0.364834752643882,"Food",0.154163410813679,0
"65","Benin",2007,-0.407200317262666,"Food",0.150551258132967,0
"66","Benin",2011,0.161083994837418,"Food",0.199129382440604,0
"67","Bermuda",2004,-0.378246683756016,"Food",0.537908673331532,60
"68","Bermuda",2007,-0.0668287133117299,"Food",0.564496082139962,60
"69","Bermuda",2011,0.479418661674897,"Food",0.61113212645231,60
"70","Brunei Darussalam",2004,0.0153606981667363,"Food",0.181778625132196,0
"71","Brunei Darussalam",2007,0.569407392467445,"Food",0.227254718115999,0
"72","Brunei Darussalam",2011,0.6496487307532,"Food",0.237302249982288,0
"73","Bolivia",2004,-0.49243597092347,"Food",0.144005439821998,0
"74","Bolivia",2007,-0.187262528713996,"Food",0.17020220512085,0
"75","Bolivia",2011,0.00740840701990089,"Food",0.187082073394699,0
"76","Brazil",2004,-0.177711641463916,"Food",0.171218635751184,0
"77","Brazil",2007,0.205645154512631,"Food",0.203008871789832,0
"78","Brazil",2011,0.738447404289198,"Food",0.246878489371766,0
"79","Bahamas, The",2004,-0.118900103671046,"Food",0.332011012395054,40
"80","Bahamas, The",2007,0.192722202693222,"Food",0.35957857050408,40
