"","country","year","CLUM_category","NApercent","ZScore_Index","MaxMin_Index"
"1","Afghanistan",2004,"Food",0,-1.01207171944108,0.440857186818688
"2","Afghanistan",2004,"Goods",25,-0.920778369502935,0.00325827566133027
"3","Afghanistan",2004,"Gross Fixed Capital Formation",66.6666666666667,-0.791592996753898,7.494745773369e-05
"4","Afghanistan",2004,"Housing",0,-1.52869718538507,0.469283087089399
"5","Afghanistan",2004,"Services",50,-0.542369218192595,0.243871423437988
"6","Afghanistan",2007,"Food",75,-1.81997307003314,0.483082706766917
"7","Afghanistan",2007,"Goods",25,0.638788822338102,0.265417670856667
"8","Afghanistan",2007,"Government",50,-0.763540127793633,0.114417367177186
"9","Afghanistan",2007,"Gross Fixed Capital Formation",33.3333333333333,-1.06632408754569,0.222252821750502
"10","Afghanistan",2007,"Housing",0,-1.09418493710415,0.497581844260308
"11","Afghanistan",2007,"Services",33.3333333333333,-0.57413869567795,0.370229405833967
"12","Afghanistan",2011,"Food",75,-1.59687692125165,0.577067669172932
"13","Afghanistan",2011,"Goods",25,-0.568297157102583,0.149313150738853
"14","Afghanistan",2011,"Government",60,-0.504239436661114,0.315275453282369
"15","Afghanistan",2011,"Gross Fixed Capital Formation",33.3333333333333,-0.988026441833726,0.266699359929908
"16","Afghanistan",2011,"Housing",0,-0.974335597735047,0.547612145977818
"17","Afghanistan",2011,"Services",62.5,-0.498977333831751,0.551375243732027
"18","Albania",2004,"Food",75,0.27576761996236,0.883458646616541
"19","Albania",2004,"Goods",0,-0.351022996770413,0.205564617660433
"20","Albania",2004,"Government",0,-0.26680418239157,0.667264190130027
"21","Albania",2004,"Gross Fixed Capital Formation",33.3333333333333,0.0212963575424303,0.510154544319938
"22","Albania",2004,"Housing",0,0.48798992943667,0.930486593446279
"23","Albania",2004,"Services",50,0.0884733872713934,0.753641926779612
"24","Albania",2007,"Food",75,0.231041012929771,0.890977443609023
"25","Albania",2007,"Goods",0,-0.253691180464174,0.261238159784743
"26","Albania",2007,"Government",50,-0.252682193720292,0.690260962625893
"27","Albania",2007,"Gross Fixed Capital Formation",0,-0.192786542477524,0.367486548012546
"28","Albania",2007,"Housing",25,0.465345024059827,0.936383758060765
"29","Albania",2007,"Services",33.3333333333333,-0.0786726404940813,0.585415409494674
"30","Albania",2011,"Food",75,0.57473715167784,0.969924812030075
"31","Albania",2011,"Goods",0,-0.0512907991296481,0.387738221781135
"32","Albania",2011,"Government",80,0.291801566136628,0.942594497031994
"33","Albania",2011,"Gross Fixed Capital Formation",33.3333333333333,0.271096375740336,0.56273333189691
"34","Albania",2011,"Housing",25,0.438703728529179,0.944121188339807
"35","Albania",2011,"Services",37.5,0.0979253785678776,0.669634383610754
"36","Algeria",2004,"Food",75,0.421791964327608,0.915413533834586
"37","Algeria",2004,"Goods",25,-0.471475167529941,0.0718068584942587
"38","Algeria",2004,"Gross Fixed Capital Formation",33.3333333333333,-0.779661505403962,0.024139442605784
"39","Algeria",2004,"Housing",0,0.328853633383114,0.885931790021209
"40","Algeria",2004,"Services",0,-0.378641433533859,0.416821046356791
"41","Algeria",2007,"Food",75,0.448429602368236,0.934210526315789
"42","Algeria",2007,"Goods",25,-0.54715984730103,0.0838672447521032
"43","Algeria",2007,"Gross Fixed Capital Formation",66.6666666666667,-0.81353532694361,0.0158793585293157
"44","Algeria",2007,"Housing",25,0.330260620949231,0.897012815122828
"45","Algeria",2007,"Services",0,-0.19625930427123,0.491737798848253
"46","Algeria",2011,"Food",75,0.585127649634441,0.971804511278195
"47","Algeria",2011,"Goods",25,-0.47954295081099,0.128520070616886
"48","Algeria",2011,"Gross Fixed Capital Formation",33.3333333333333,-0.0866303464670034,0.505060593601691
"49","Algeria",2011,"Housing",0,0.501210333297115,0.888964348639132
"50","Algeria",2011,"Services",50,-0.493217975845519,0.305300953151641
"51","American Samoa",2004,"Goods",75,-2.14236021530282,0.1244837
"52","American Samoa",2004,"Gross Fixed Capital Formation",66.6666666666667,-0.61566247200366,0.0834003899600755
"53","American Samoa",2004,"Housing",0,0.377021816750883,0.875296864293606
"54","American Samoa",2004,"Services",66.6666666666667,0.0448706071686455,0.494816546440409
"55","American Samoa",2007,"Goods",75,-2.29785305152001,0.1247761
"56","American Samoa",2007,"Housing",25,0.34385014985712,0.876018230960273
"57","American Samoa",2007,"Services",66.6666666666667,0.080612459735469,0.494816546440409
"58","American Samoa",2011,"Goods",75,-2.44922979335201,0.125166
"59","American Samoa",2011,"Housing",25,0.265006111006796,0.865534234173695
"60","American Samoa",2011,"Services",75,0.0408557559749733,0.494881051260542
"61","Andorra",2004,"Goods",25,0.305620381372309,0.427248216995611
"62","Andorra",2004,"Gross Fixed Capital Formation",66.6666666666667,0.734285217134668,1
"63","Andorra",2004,"Housing",0,0.815492536028212,1
"64","Andorra",2004,"Services",50,0.334278221589255,0.589552398616762
"65","Andorra",2007,"Goods",25,0.410941080904325,0.542088441223482
"66","Andorra",2007,"Government",75,0.675988256020596,1
"67","Andorra",2007,"Gross Fixed Capital Formation",66.6666666666667,0.724099913145875,1
"68","Andorra",2007,"Housing",25,0.792043667951689,1
"69","Andorra",2007,"Services",16.6666666666667,0.831989561441397,0.830709008289323
"70","Andorra",2011,"Goods",25,0.376220962775491,0.50217491521774
"71","Andorra",2011,"Government",80,0.540123580525221,0.986040439330935
"72","Andorra",2011,"Gross Fixed Capital Formation",66.6666666666667,0.691257811834992,1
"73","Andorra",2011,"Housing",25,0.757756206548782,1
"74","Andorra",2011,"Services",25,0.891620874542285,0.881831180091357
"75","Angola",2004,"Food",75,-3.70983801447735,0.0112781954887218
"76","Angola",2004,"Goods",25,-0.377410845776301,0.0688828182871698
"77","Angola",2004,"Gross Fixed Capital Formation",33.3333333333333,-1.29748629536405,0.130538927304072
"78","Angola",2004,"Housing",0,-1.79784722094869,0.403543435045007
"79","Angola",2004,"Services",66.6666666666667,-1.02700392991749,0.235467900378349
"80","Angola",2007,"Food",25,-1.2445979472933,0.439611925940316
"81","Angola",2007,"Goods",25,-0.169168766053136,0.133319567517021
"82","Angola",2007,"Gross Fixed Capital Formation",33.3333333333333,-1.19111414890562,0.182067244753274
"83","Angola",2007,"Housing",25,-1.83185044106512,0.435221045537617
"84","Angola",2007,"Services",50,-0.877444595848653,0.170805397064179
"85","Angola",2011,"Food",75,-2.84373667604371,0.351503759398496
"86","Angola",2011,"Goods",25,-0.738059971008383,0.051598053402504
"87","Angola",2011,"Gross Fixed Capital Formation",33.3333333333333,-1.10665322778039,0.217789728928101
"88","Angola",2011,"Housing",25,-1.80628734792407,0.476447077146395
"89","Angola",2011,"Services",37.5,-1.02595548607381,0.286070218564069
"90","Anguilla",2004,"Goods",50,0.740197393260074,0.24909995221901
"91","Anguilla",2004,"Gross Fixed Capital Formation",66.6666666666667,0.60290551310829,0.961831333333333
"92","Anguilla",2004,"Housing",0,0.631682947357051,0.955734424894252
"93","Anguilla",2004,"Services",33.3333333333333,0.194873282756893,0.512470904126344
"94","Anguilla",2007,"Goods",50,1.01917450510668,0.404829663175616
"95","Anguilla",2007,"Gross Fixed Capital Formation",66.6666666666667,0.62648375481915,0.972318433333333
"96","Anguilla",2007,"Housing",25,0.6295508335072,0.963170317123215
