"","country","year","CLUM_category","NApercent","ZScore_Index","MaxMin_Index"
"1","Afghanistan",2004,"Food",9.09090909090909,-0.986718438863806,0.342998192924096
"2","Afghanistan",2004,"Gross Fixed Capital Formation",60,-0.606307830732185,0.00616234745068077
"3","Afghanistan",2004,"Housing",16.6666666666667,-1.31395297240024,0.331289852253639
"4","Afghanistan",2004,"Services",50,-1.40146055523187,0.166121522146351
"5","Afghanistan",2007,"Food",45.4545454545455,-0.75171028277504,0.329273020272288
"6","Afghanistan",2007,"Government",54.5454545454545,-2.51558955528136,0.47843822697486
"7","Afghanistan",2007,"Gross Fixed Capital Formation",16.6666666666667,0.48067265412489,0.460966734990745
"8","Afghanistan",2007,"Housing",14.2857142857143,-1.046129934357,0.385021229506872
"9","Afghanistan",2007,"Personal Transportation",88.8888888888889,-2.05801495184862,0.256410256410256
"10","Afghanistan",2007,"Services",38.0952380952381,-1.37324268882373,0.297128870220242
"11","Afghanistan",2011,"Food",40,-0.880791166814517,0.322709838679471
"12","Afghanistan",2011,"Government",25,-1.3214180159236,0.358733815602448
"13","Afghanistan",2011,"Gross Fixed Capital Formation",33.3333333333333,0.441171334396968,0.287802057692669
"14","Afghanistan",2011,"Housing",14.2857142857143,-0.929325880268576,0.439508097318545
"15","Afghanistan",2011,"Services",38.0952380952381,-1.14114347150057,0.37492185613183
"16","Albania",2004,"Food",45.4545454545455,0.0480445852870658,0.478562460941118
"17","Albania",2004,"Government",10,-0.257931769082549,0.502614934423225
"18","Albania",2004,"Gross Fixed Capital Formation",0,0.115753338895018,0.292460777408044
"19","Albania",2004,"Housing",0,0.0928348194285324,0.696893600916888
"20","Albania",2004,"Services",33.3333333333333,-0.145546741840679,0.600731192818545
"21","Albania",2007,"Food",36.3636363636364,0.0838849679376197,0.448508770244517
"22","Albania",2007,"Government",9.09090909090909,-0.328218288221796,0.534535017207912
"23","Albania",2007,"Gross Fixed Capital Formation",16.6666666666667,-0.409476347269158,0.385059229067858
"24","Albania",2007,"Housing",14.2857142857143,0.113783699883416,0.724695680991327
"25","Albania",2007,"Personal Transportation",88.8888888888889,-0.340002743479774,0.543123543123543
"26","Albania",2007,"Services",28.5714285714286,-0.10096008606758,0.568974019929888
"27","Albania",2011,"Food",40,0.396219552821699,0.535097327916844
"28","Albania",2011,"Goods",33.3333333333333,0.607599942088371,0.654350736278447
"29","Albania",2011,"Government",25,-0.0873291547373328,0.538920550342544
"30","Albania",2011,"Gross Fixed Capital Formation",0,0.0293908755900951,0.401555523283875
"31","Albania",2011,"Housing",14.2857142857143,0.156744760709651,0.763051990931009
"32","Albania",2011,"Services",23.8095238095238,0.0549614445126506,0.64221637493757
"33","Algeria",2004,"Food",36.3636363636364,-0.310580004594185,0.39737708280698
"34","Algeria",2004,"Goods",16.6666666666667,0.254357309579644,0.424277802056593
"35","Algeria",2004,"Gross Fixed Capital Formation",60,-0.396159568321141,0.0379325559068237
"36","Algeria",2004,"Housing",0,0.254144232221534,0.774607005699323
"37","Algeria",2004,"Personal Transportation",80,1.17740585452946,0.680629614370841
"38","Algeria",2004,"Services",11.1111111111111,-0.358217817882472,0.492477109331022
"39","Algeria",2007,"Food",36.3636363636364,-0.358006300895692,0.390344607393131
"40","Algeria",2007,"Goods",16.6666666666667,0.0426635330981752,0.467552848604552
"41","Algeria",2007,"Gross Fixed Capital Formation",50,-0.0052007132492526,0.474350359277911
"42","Algeria",2007,"Housing",14.2857142857143,0.234154053440475,0.784106135542962
"43","Algeria",2007,"Personal Transportation",66.6666666666667,-0.247146529017206,0.410257985044892
"44","Algeria",2007,"Services",23.8095238095238,-0.17479864360573,0.575295276414065
"45","Algeria",2011,"Food",40,0.116777973047029,0.475666832301052
"46","Algeria",2011,"Gross Fixed Capital Formation",33.3333333333333,-0.257040798320296,0.505641721293415
"47","Algeria",2011,"Housing",0,0.323327125220064,0.79796212533315
"48","Algeria",2011,"Services",33.3333333333333,-0.221131770385267,0.540761027511342
"49","American Samoa",2004,"Services",72.2222222222222,-0.472240915441767,0.395161203039911
"50","American Samoa",2007,"Services",76.1904761904762,-0.490642537288681,0.393480097435603
"51","American Samoa",2011,"Services",76.1904761904762,-0.550723531864807,0.387694690276231
"52","Andorra",2004,"Gross Fixed Capital Formation",80,0.790946536440176,1
"53","Andorra",2004,"Housing",0,0.710260362763503,0.905570887792412
"54","Andorra",2004,"Services",44.4444444444444,0.623913766798814,0.683006061518792
"55","Andorra",2007,"Government",81.8181818181818,0.794625296612965,0.793040293040293
"56","Andorra",2007,"Gross Fixed Capital Formation",83.3333333333333,0.757259018841741,1
