"","indicator","description","CLUM","Forw_Revd"
"1","SN_ITK_DEFC","Prevalence of undernourishment (%)","Food","Reversed"
"2","SH_STA_STNT","Proportion of children moderately or severely stunted (%)","Food","Reversed"
"3","SH_STA_WAST","Proportion of children moderately or severely wasted (%)","Food","Reversed"
"4","SN_STA_OVWGT","Proportion of children moderately or severely overweight (%)","Food","Reversed"
"8","SD_XPD_ESED","Proportion of total government spending on essential services; education (%)","Government","Fwd"
"9","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)","Government","Fwd"
"10","VC_IHR_PSRC","Number of victims of intentional homicide per 100;000 population; by sex (victims per 100;000 population)","Government","Reversed"
"14","EG_EGY_RNEW","Installed renewable electricity-generating capacity (watts per capita)","Services","Fwd"
"15","IT_NET_BBND","Fixed Internet broadband subscriptions per 100 inhabitants; by speed (per 100 inhabitants)","Services","Fwd"
"19","IT_MOB_2GNTWK","Proportion of population covered by at least a 2G mobile network (%)","Services","Fwd"
"21","SH_SAN_DEFECT","Proportion of population practicing open defecation; by urban/rural (%)","Services","Reversed"
"22","EN_MAT_DOMCMPC","Domestic material consumption per capita; by type of raw material (tonnes)","Goods","Fwd"
"23","IT_USE_ii99","Internet users per 100 inhabitants","Goods","Fwd"
"24","SH_H2O_SAFE","Proportion of population using safely managed drinking water services; by urban/rural (%)","Goods","Fwd"
"25","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","Goods","Fwd"
"26","SP_ACS_BSRVH2O","Proportion of population using basic drinking water services; by location (%)","Housing","Fwd"
"27","SP_ACS_BSRVSAN","Proportion of population using basic sanitation services; by location (%)","Housing","Fwd"
"28","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises; by urban/rural (%)","Housing","Fwd"
"29","SH_SAN_DEFECT","Proportion of population practicing open defecation; by urban/rural (%)","Housing","Reversed"
"31","EG_ACS_ELEC","Proportion of population with access to electricity; by urban/rural (%)","GFCF","Fwd"
"32","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100;000 adults","GFCF","Fwd"
