"","indicator","description","CLUM","Forw_Revd"
"1","AG.CON.FERT.ZS","Fertilizer consumption (kilograms per hectare of arable land)","Food","Fwd"
"2","AG.LND.IRIG.AG.ZS","Agricultural irrigated land (% of total agricultural land)","Food","Fwd"
"3","AG.LND.TRAC.ZS","Agricultural machinery, tractors per 100 sq. km of arable land","Food","Fwd"
"4","AG.PRD.FOOD.XD","Food production index (2004-2006 = 100)","Food","Fwd"
"5","AG.YLD.CREL.KG","Cereal yield (kg per hectare)","Food","Fwd"
"8","BN.CAB.XOKA.GD.ZS","Current account balance (% of GDP)","Government","Fwd"
"9","FS.AST.PRVT.GD.ZS","Domestic credit to private sector (% of GDP)","Government","Fwd"
"10","IQ.CPA.ECON.XQ","CPIA economic management cluster average (1=low to 6=high)","Government","Fwd"
"11","IQ.CPA.IRAI.XQ","IDA resource allocation index (1=low to 6=high)","Government","Fwd"
"12","IQ.CPA.PADM.XQ","CPIA quality of public administration rating (1=low to 6=high)","Government","Fwd"
"13","IQ.CPA.PRES.XQ","CPIA equity of public resource use rating (1=low to 6=high)","Government","Fwd"
"14","IQ.CPA.PUBS.XQ","CPIA public sector management and institutions cluster average (1=low to 6=high)","Government","Fwd"
"15","IQ.CPA.SOCI.XQ","CPIA policies for social inclusion/equity cluster average (1=low to 6=high)","Government","Fwd"
"16","IQ.CPA.STRC.XQ","CPIA structural policies cluster average (1=low to 6=high)","Government","Fwd"
"17","IQ.CPA.TRAN.XQ","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","Government","Fwd"
"18","NY.GNS.ICTR.ZS","Gross savings (% of GDP)","Government","Fwd"
"19","per_allsp_gini_tot","Gini inequality index reduction (%) - All Social Protection and Labor","Government","Fwd"
"20","SE.ENR.PRSC.FM.ZS","School enrollment, primary and secondary (gross), gender parity index (GPI)","Government","Fwd"
"21","SE.PRM.TCAQ.ZS","Trained teachers in primary education (% of total teachers)","Government","Fwd"
"22","SE.XPD.TOTL.GB.ZS","Government expenditure on education, total (% of government expenditure)","Government","Fwd"
"23","SG.GEN.PARL.ZS","Proportion of seats held by women in national parliaments (%)","Government","Fwd"
"25","UIS.XUNIT.PPPCONST.1.FSGOV","Initial government funding per primary student, constant PPP$","Government","Fwd"
"28","IQ.CPA.FINS.XQ","CPIA financial sector rating (1=low to 6=high)","Services","Fwd"
"29","IQ.CPA.PROT.XQ","CPIA social protection rating (1=low to 6=high)","Services","Fwd"
"31","IT.MLT.MAIN.P2","Fixed telephone subscriptions (per 100 people)","Services","Fwd"
"32","IT.NET.BBND.P2","Fixed broadband subscriptions (per 100 people)","Services","Fwd"
"33","IT.TEL.TOTL.P2","Fixed line and mobile cellular subscriptions (per 100 people)","Services","Fwd"
"37","per_allsp.adq_pop_tot","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","Services","Fwd"
"38","per_si_allsi.adq_pop_tot","Adequacy of social insurance programs (% of total welfare of beneficiary households)","Services","Fwd"
"39","per_si_allsi.cov_ep_tot","Coverage in extreme poor (<$1.90 PPP a day) (%) - All Social Insurance","Services","Fwd"
"40","per_si_allsi.cov_pop_tot","Coverage of social insurance programs (% of population)","Services","Fwd"
"42","SE.ENR.PRSC.FM.ZS","School enrollment, primary and secondary (gross), gender parity index (GPI)","Services","Fwd"
"43","SE.PRE.DURS","Preprimary education, duration (years)","Services","Fwd"
"44","SE.PRE.TCAQ.ZS","Trained teachers in preprimary education (% of total teachers)","Services","Fwd"
"46","SE.PRM.NENR","School enrollment, primary (% net)","Services","Fwd"
"47","SE.PRM.PRSL.ZS","Persistence to last grade of primary, total (% of cohort)","Services","Fwd"
"48","SE.SEC.PROG.ZS","Progression to secondary school (%)","Services","Fwd"
"50","SE.XPD.TOTL.GB.ZS","Government expenditure on education, total (% of government expenditure)","Services","Fwd"
"51","SH.H2O.SMDW.ZS","People using safely managed drinking water services (% of population)","Services","Fwd"
"52","SH.MED.BEDS.ZS","Hospital beds (per 1,000 people)","Services","Fwd"
"53","SH.MED.CMHW.P3","Community health workers (per 1,000 people)","Services","Fwd"
"55","SH.STA.BASS.ZS","People using at least basic sanitation services (% of population)","Services","Fwd"
"56","IN.TRANSPORT.RURLRD.DENSIT","Rural Road Density (KMs/1000 Population)","Transportation","Fwd"
"57","IN.TRANSPORT.URBNRD.DENSIT","Urban Road Density (KMs Per 1000 Population)","Transportation","Fwd"
"58","IS.ROD.PAVE.ZS","Roads, paved (% of total roads)","Transportation","Fwd"
"61","IS.VEH.NVEH.P3","Motor vehicles (per 1,000 people)","Transportation","Fwd"
"62","LP.LPI.INFR.XQ","Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)","Transportation","Fwd"
"64","2.1_ACCESS.CFT.TOT","Access to Clean Fuels and Technologies for cooking (% of total population)","Housing","Fwd"
"65","EG.CFT.ACCS.ZS","Access to clean fuels and technologies for cooking (% of population)","Housing","Fwd"
"77","SH.STA.SMSS.ZS","People using safely managed sanitation services (% of population)","Housing","Fwd"
"78","AG.LND.TRAC.ZS","Agricultural machinery, tractors per 100 sq. km of arable land","GFCF","Fwd"
"79","GC.NFN.TOTL.GD.ZS","Net investment in nonfinancial assets (% of GDP)","GFCF","Fwd"
"80","GCI.2NDPILLAR.XQ","2nd pillar: Infrastructure","GFCF","Fwd"
"81","IC.FRM.XQ","Dealing with construction permits (rank)","GFCF","Fwd"
"82","IQ.WEF.PORT.XQ","Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)","GFCF","Fwd"
"83","LP.LPI.INFR.RK","Quality- of trade and transport-related infrastructure, rank (1=highest performer)","GFCF","Fwd"
"84","NE.GDI.FPUB.ZS","Gross public investment (% of GDP)","GFCF","Fwd"
"86","NV.MNF.MTRN.ZS.UN","Machinery and transport equipment (% of value added in manufacturing)","GFCF","Fwd"
"87","SH.XPD.KHEX.GD.ZS","Capital health expenditure (% of GDP)","GFCF","Fwd"
"88","3.13_PRI.MATH.BOOK.PER.PUPIL","Ratio of textbooks per pupil, primary education, mathematics","Goods","Fwd"
"89","3.14_PRI.LANGU.BOOK.PER.PUPIL","Ratio of textbooks per pupil, primary education, language","Goods","Fwd"
"91","IT.RAD.HOUS.ZS","Households with a radio (%)","Goods","Fwd"
"92","IT.TVS.HOUS.ZS","Households with television (%)","Goods","Fwd"
