"","GTAP_Region","CLUM_category","year","NApercent","ZScore_Index","MaxMin_Index"
"1","Caribbean","Food",2004,53.6138854743693,-0.568694513619149,0.395033008543329
"2","Central Africa","Food",2004,27.8249252135687,-1.34206204073092,0.399119039494939
"3","Cote dIvoire","Food",2004,NA,NA,NA
"4","Iran","Food",2004,NA,NA,NA
"5","Laos","Food",2004,NA,NA,NA
"6","Rest of Eastern Africa","Food",2004,NA,NA,NA
"7","Rest of Eastern Europe","Food",2004,NA,NA,NA
"8","Rest of Europe","Food",2004,51.3854456087461,0.329048106248266,0.585301834926968
"9","Rest of Former Soviet Union","Food",2004,63.6363636363636,-0.246988345870386,0.627873612422306
"10","Rest of North Africa","Food",2004,36.3636363636364,-0.310580004594185,0.39737708280698
"11","Rest of North America","Food",2004,NA,NA,NA
"12","Rest of Oceania","Food",2004,27.8965923880681,0.272812276977741,0.662321000412286
"13","Rest of South African Customs Union","Food",2004,37.2026986309421,-0.28941153153272,0.57503868252337
"14","Rest of South America","Food",2004,54.5454545454545,0.531537888872855,0.597201845748919
"15","Rest of South Asia","Food",2004,9.09090909090909,-0.986718438863806,0.342998192924096
"16","Rest of Southeast Asia","Food",2004,45.8008168031646,-0.661580294734119,0.393829169048681
"17","Rest of Western Africa","Food",2004,51.5407034481443,-0.930928893681492,0.382120722549434
"18","Rest of Western Asia","Food",2004,24.9456066696891,-0.35914661246013,0.543956781274413
"19","South Central Africa","Food",2004,54.5454545454545,-1.98609905779123,0.169907694712707
"20","South Korea","Food",2004,NA,NA,NA
"21","Tanzania","Food",2004,NA,NA,NA
"22","Venezuela (Bolivarian Republic of)","Food",2004,NA,NA,NA
"23","Vietnam","Food",2004,NA,NA,NA
"24","Caribbean","Goods",2004,NA,NA,NA
"25","Central Africa","Goods",2004,16.6666666666667,-0.00260381616365686,0.327635525833845
"26","Cote dIvoire","Goods",2004,NA,NA,NA
"27","Iran","Goods",2004,NA,NA,NA
"28","Laos","Goods",2004,NA,NA,NA
"29","Rest of Eastern Africa","Goods",2004,16.6666666666667,-0.399077619329022,0.255117903169791
"30","Rest of Eastern Europe","Goods",2004,NA,NA,NA
"31","Rest of Europe","Goods",2004,NA,NA,NA
"32","Rest of Former Soviet Union","Goods",2004,NA,NA,NA
"33","Rest of North Africa","Goods",2004,16.6666666666667,0.254357309579644,0.424277802056593
"34","Rest of North America","Goods",2004,NA,NA,NA
"35","Rest of Oceania","Goods",2004,NA,NA,NA
"36","Rest of South African Customs Union","Goods",2004,16.6666666666667,-0.486026937803535,0.213799883201046
"37","Rest of South America","Goods",2004,NA,NA,NA
"38","Rest of South Asia","Goods",2004,NA,NA,NA
"39","Rest of Southeast Asia","Goods",2004,NA,NA,NA
"40","Rest of Western Africa","Goods",2004,30.6052738831354,-0.730188841725021,0.0593345133456762
"41","Rest of Western Asia","Goods",2004,NA,NA,NA
"42","South Central Africa","Goods",2004,NA,NA,NA
"43","South Korea","Goods",2004,NA,NA,NA
"44","Tanzania","Goods",2004,NA,NA,NA
"45","Venezuela (Bolivarian Republic of)","Goods",2004,NA,NA,NA
"46","Vietnam","Goods",2004,NA,NA,NA
"47","Caribbean","Government",2004,58.5768840241639,0.98007003244422,0.905738511757411
"48","Central Africa","Government",2004,38.4229669416016,-0.63354326553489,0.467491173384945
"49","Cote dIvoire","Government",2004,NA,NA,NA
"50","Iran","Government",2004,NA,NA,NA
"51","Laos","Government",2004,NA,NA,NA
"52","Rest of Eastern Africa","Government",2004,20.3575409205109,-0.761742565533149,0.418003942220178
"53","Rest of Eastern Europe","Government",2004,NA,NA,NA
"54","Rest of Europe","Government",2004,30,-0.699030622649194,0.430753115262927
"55","Rest of Former Soviet Union","Government",2004,10,-0.202916612945954,0.535276611396468
"56","Rest of North Africa","Government",2004,NA,NA,NA
"57","Rest of North America","Government",2004,70,0.00607199286876355,0.599528766369064
"58","Rest of Oceania","Government",2004,2.18219188632831,0.578115432790264,0.600061292214159
"59","Rest of South African Customs Union","Government",2004,16.3590105019879,0.566067713698149,0.603284570110293
"60","Rest of South America","Government",2004,20,0.0355630148403273,0.468809246082894
"61","Rest of South Asia","Government",2004,30,0.939267679399623,0.657727524429435
"62","Rest of Southeast Asia","Government",2004,NA,NA,NA
"63","Rest of Western Africa","Government",2004,10.9862403544533,-0.336000328985128,0.469871766161867
"64","Rest of Western Asia","Government",2004,11.7939351983052,-0.102375395287167,0.468554039080896
"65","South Central Africa","Government",2004,NA,NA,NA
"66","South Korea","Government",2004,NA,NA,NA
"67","Tanzania","Government",2004,NA,NA,NA
"68","Venezuela (Bolivarian Republic of)","Government",2004,NA,NA,NA
"69","Vietnam","Government",2004,NA,NA,NA
"70","Caribbean","Gross Fixed Capital Formation",2004,48.5034208550538,1.36860445535379,0.476263166879403
"71","Central Africa","Gross Fixed Capital Formation",2004,54.1775682845735,-1.46975666963235,0.0405662497889117
"72","Cote dIvoire","Gross Fixed Capital Formation",2004,NA,NA,NA
"73","Iran","Gross Fixed Capital Formation",2004,NA,NA,NA
"74","Laos","Gross Fixed Capital Formation",2004,NA,NA,NA
"75","Rest of Eastern Africa","Gross Fixed Capital Formation",2004,60.5521909973856,-1.38658196623064,0.136196414078893
"76","Rest of Eastern Europe","Gross Fixed Capital Formation",2004,NA,NA,NA
"77","Rest of Europe","Gross Fixed Capital Formation",2004,53.0479803392415,0.19930987156575,0.458302518815407
"78","Rest of Former Soviet Union","Gross Fixed Capital Formation",2004,46.144013606671,-0.0703339401098056,0.38495823451477
"79","Rest of North Africa","Gross Fixed Capital Formation",2004,60,-0.352359955116977,0.101788326198969
"80","Rest of North America","Gross Fixed Capital Formation",2004,60,0.0993645342354038,0.500215742862802
